"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","24544","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","24556","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","27695","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","89762","","","instructions","3","2.1.0","117454","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","[{""page_index"":0,""viewing_time"":12910},{""page_index"":1,""viewing_time"":13083},{""page_index"":2,""viewing_time"":22585},{""page_index"":3,""viewing_time"":21567},{""page_index"":4,""viewing_time"":19618}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","9033","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","170821","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","175773","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4960","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","180737","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","4598","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","185338","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F10T_audio.webm","null","audio-keyboard-response","13","2.1.1","190380","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F10","F10T","10","Audio item F10","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F10T_audio.webm","","","","","","",""
"truth_judgment","6155","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","14","2.1.0","196537","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F10","F10T","10","Audio item F10","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F10T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_16F_audio.webm","null","audio-keyboard-response","15","2.1.1","200497","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_16F_audio.webm","","","","","","",""
"truth_judgment","9438","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","16","2.1.0","209937","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_16F_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F2F_audio.webm","null","audio-keyboard-response","17","2.1.1","215760","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","","","","","","",""
"truth_judgment","5409","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","221171","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_32F_audio.webm","null","audio-keyboard-response","19","2.1.1","224773","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","32","32F","32","Audio item 32","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_32F_audio.webm","","","","","","",""
"truth_judgment","2045","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","20","2.1.0","226821","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","32","32F","32","Audio item 32","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_32F_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_17F_audio.webm","null","audio-keyboard-response","21","2.1.1","230783","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_17F_audio.webm","","","","","","",""
"truth_judgment","3668","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","22","2.1.0","234454","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_17F_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_7F_audio.webm","null","audio-keyboard-response","23","2.1.1","238655","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_7F_audio.webm","","","","","","",""
"truth_judgment","3630","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","24","2.1.0","242289","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_7F_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_6F_audio.webm","null","audio-keyboard-response","25","2.1.1","247454","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","6","6F","6","Audio item 6","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_6F_audio.webm","","","","","","",""
"truth_judgment","3167","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","26","2.1.0","250625","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","6","6F","6","Audio item 6","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_6F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_15T_audio.webm","null","audio-keyboard-response","27","2.1.1","256566","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","15","15T","15","Audio item 15","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_15T_audio.webm","","","","","","",""
"truth_judgment","3710","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","28","2.1.0","260279","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","15","15T","15","Audio item 15","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_15T_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16T_audio.webm","null","audio-keyboard-response","29","2.1.1","265863","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F16","F16T","16","Audio item F16","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16T_audio.webm","","","","","","",""
"truth_judgment","4265","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","30","2.1.0","270131","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F16","F16T","16","Audio item F16","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16T_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_41F_audio.webm","null","audio-keyboard-response","31","2.1.1","274813","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","41","41F","41","Audio item 41","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_41F_audio.webm","","","","","","",""
"truth_judgment","3965","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","32","2.1.0","278781","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","41","41F","41","Audio item 41","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_41F_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F6F_audio.webm","null","audio-keyboard-response","33","2.1.1","284184","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","","","","","","",""
"truth_judgment","3494","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","34","2.1.0","287681","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14F_audio.webm","null","audio-keyboard-response","35","2.1.1","292365","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","","","","","","",""
"truth_judgment","3581","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","36","2.1.0","295949","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_22T_audio.webm","null","audio-keyboard-response","37","2.1.1","300093","7oraavzn","3","accent_credibility_four_speakers","6543066cff6d7afed2784928","6a0d18ca6b133c23bd4a9bda","6a0d1f53677f28cb0e93459a","prolific","","","","","","","","22","22T","22","Audio item 22","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_22T_audio.webm","","","","","","",""
