"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","2193","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2203","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","3696","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","164897","","","instructions","3","2.1.0","168594","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","[{""page_index"":0,""viewing_time"":85753},{""page_index"":1,""viewing_time"":6872},{""page_index"":2,""viewing_time"":22720},{""page_index"":3,""viewing_time"":18816},{""page_index"":4,""viewing_time"":30736}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","16958","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","228121","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","232792","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","9990","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","11","2.1.0","242786","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","7","7","0","14","definitely false","definitely true"
"practice_complete","4854","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","247642","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_2/6nhu1nbwba_3T_audio.webm","null","audio-keyboard-response","13","2.1.1","252873","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","3","3T","3","Audio item 3","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_3T_audio.webm","","","","","","",""
"truth_judgment","2894","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","14","2.1.0","255770","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","3","3T","3","Audio item 3","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_3T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","null","audio-keyboard-response","15","2.1.1","261233","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","","","","","","",""
"truth_judgment","2142","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","16","2.1.0","263378","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_39T_audio.webm","null","audio-keyboard-response","17","2.1.1","268172","vt299wna","4","accent_credibility_four_speakers","69ebf5451d1c7c1018b88ea8","6a0d18ca6b133c23bd4a9bda","6a0d1f4102fad1cb9dfa1646","prolific","","","","","","","","39","39T","39","Audio item 39","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_39T_audio.webm","","","","","","",""
